coord_x,coord_y,coord_z,w,x,y,z
0.3999999761581421,-0.5473684072494507,-0.621052622795105,0.7255148381616423,0.6638184847489589,-0.134454004549138,-0.12204654674992894
0.39886530395474606,-0.5470135704271908,-0.6215839156464997,0.7259265553753439,0.6632008902398344,-0.13471958486613117,-0.12266152142981182
0.39773063175135004,-0.5466587336049309,-0.6221152084978946,0.726337546908722,0.6625826327547752,-0.1349850305092359,-0.12327637348977963
0.396595959547954,-0.546303896782671,-0.6226465013492894,0.7267486162934724,0.6619624983699379,-0.13525086143592888,-0.12389230786530793
0.395461287344558,-0.5459490599604111,-0.6231777942006842,0.7271589563235364,0.6613416996488507,-0.13551655662676018,-0.12450811790425914
0.39432661514116196,-0.5455942231381512,-0.623709087052079,0.7275693675997851,0.6607190201781902,-0.13578263545948796,-0.12512500794364348
0.39319194293776594,-0.5452393863158913,-0.6242403799034738,0.7279790458365053,0.6600956750209567,-0.1360485774887115,-0.1257417719172795
0.3920572707343699,-0.5448845494936314,-0.6247716727548687,0.728388788682472,0.6594704452944643,-0.13631490150099368,-0.12635961353841058
0.3909225985309739,-0.5445297126713715,-0.6253029656062634,0.7287977947936556,0.6588445485412096,-0.13658108763645654,-0.1269773273520796
0.38978792632757786,-0.5441748758491116,-0.6258342584576582,0.7292068588455256,0.6582167634295415,-0.13684765407896007,-0.12759611642234975
0.38865325412418184,-0.5438200390268517,-0.626365551309053,0.7296151824570128,0.6575883099611975,-0.13711408156565416,-0.1282147759308692
0.3875185819207858,-0.5434652022045918,-0.6268968441604479,0.7300235573091367,0.6569579643762401,-0.13738088766615789,-0.12883450826699638
0.3863839097173898,-0.5431103653823319,-0.6274281370118426,0.7304311880050023,0.6563269491151115,-0.1376475537261844,-0.1294541092744772
0.38524923751399376,-0.542755528560072,-0.6279594298632374,0.7308388632101005,0.6556940380105479,-0.1379145966895443,-0.1300747806423308
0.38411456531059773,-0.5424006917378121,-0.6284907227146322,0.731245790532859,0.6550604559208792,-0.1381814985220798,-0.1306953189020039
0.3829798931072017,-0.5420458549155522,-0.6290220155660271,0.7316527556022318,0.6544249742927595,-0.1384487755301963,-0.13131692501643275
0.3818452209038057,-0.5416910180932923,-0.6295533084174219,0.7320589690530491,0.6537888203813057,-0.1387159103114601,-0.13193839623047787
0.38071054870040966,-0.5413361812710324,-0.6300846012688166,0.7324652134567906,0.6531507632686173,-0.13898341852324617,-0.13256093275514064
0.37957587649701363,-0.5409813444487725,-0.6306158941202115,0.7328707024957003,0.6525120325852154,-0.13925078340646913,-0.13318333257451717
0.3784412042936176,-0.5406265076265127,-0.6311471869716063,0.7332762156629183,0.6518713950704572,-0.13951851995782022,-0.13380679512171478
0.3773065320902216,-0.5402716708042528,-0.6316784798230011,0.7336809697090412,0.6512300827085995,-0.13978611207321473,-0.13443011914599468
0.37617185988682555,-0.5399168339819929,-0.6322097726743958,0.734085741028082,0.650586859918357,-0.1400540740769801,-0.13505450327650514
0.37503718768342953,-0.539561997159733,-0.6327410655257907,0.7344897494598535,0.6499429610157678,-0.1403218905317119,-0.1356787470537088
0.3739025154800335,-0.5392071603374731,-0.6332723583771855,0.7348937682785311,0.6492971481212899,-0.140590075077667,-0.13630404827662435
0.3727678432766375,-0.5388523235152132,-0.6338036512285803,0.7352970204339311,0.6486506578605025,-0.14085811295582815,-0.13692920730305796
0.37163317107324145,-0.5384974866929533,-0.634334944079975,0.7357002760597622,0.6480022500782812,-0.14112651711064889,-0.13755542107562452
0.3704984988698454,-0.5381426498706934,-0.6348662369313699,0.7361027612365518,0.6473531636872177,-0.14139477347323232,-0.13818149079572054
0.3693638266664494,-0.5377878130484335,-0.6353975297827648,0.7365052429369952,0.6467021562795683,-0.1416633942804708,-0.13880861252317955
0.3682291544630534,-0.5374329762261736,-0.6359288226341595,0.7369069503929578,0.6460504690321216,-0.14193186616534628,-0.1394355883293391
0.36709448225965735,-0.5370781394039137,-0.6364601154855543,0.7373086473956598,0.6453968573077664,-0.1422007006454077,-0.14006361336477213
0.3659598100562613,-0.5367233025816538,-0.6369914083369491,0.737709566348847,0.6447425645243821,-0.14246938506729945,-0.14069149059721003
0.3648251378528653,-0.5363684657593939,-0.637522701188344,0.738110467841891,0.6440863438390341,-0.14273843021742083,-0.14132041424138528
0.3636904656494693,-0.536013628937134,-0.6380539940397387,0.7385105874708745,0.6434294408872965,-0.14300732416788647,-0.14194918818797767
0.36255579344607325,-0.5356587921148741,-0.6385852868911335,0.7389106826030366,0.6427706066442462,-0.14327657696211682,-0.1425790056891995
0.3614211212426772,-0.5353039552926142,-0.6391165797425283,0.7393099920471646,0.6421110889394648,-0.14354567740952806,-0.14320867158533387
0.3602864490392812,-0.5349491184703543,-0.6396478725939232,0.7397092699281739,0.6414496365901675,-0.14381513479871003,-0.1438393781392948
0.3591517768358852,-0.5345942816480944,-0.6401791654453179,0.7401077582878329,0.6407874995959647,-0.1440844386882347,-0.14446993116772253
0.35801710463248915,-0.5342394448258345,-0.6407104582967127,0.7405062079886371,0.6401234246406305,-0.14435409759998793,-0.14510152191735762
0.3568824324290931,-0.5338846080035746,-0.6412417511481076,0.7409038643255195,0.6394586638695327,-0.1446236018535739,-0.14573295720804963
0.3557477602256971,-0.5335297711813147,-0.6417730439995024,0.7413014748785559,0.6387919618577176,-0.14489345919227994,-0.146365427243394
0.35461308802230107,-0.5331749343590548,-0.6423043368508972,0.7416982882159316,0.6381245728717452,-0.14516316070864016,-0.1469977398733982
