,0
38,"[-0.08622227496217577, -0.06901166648155128, 0.2051297609605177], [0.9950663975344393 + 0.024906300800269593*i + -0.094694833859899*j + 0.015982149996985696*k]"
39,"[-0.08819544321192793, -0.06862484286640147, 0.20543073788025273], [0.9948026183430184 + 0.025561759542174045*i + -0.09718691637204743*j + 0.01640275199701611*k]"
40,"[-0.0901686114616801, -0.06823801925125167, 0.20573171479998775], [0.9945319883569043 + 0.026217042250799735*i + -0.09967832959804938*j + 0.01682324103806927*k]"
41,"[-0.09214177971143228, -0.06785119563610187, 0.20603269171972277], [0.9942544656927946 + 0.02687224642279908*i + -0.10216944422439803*j + 0.017243679682873193*k]"
42,"[-0.09411494796118444, -0.06746437202095205, 0.20633366863945782], [0.9939700938760597 + 0.02752726547909265*i + -0.1046598550328195*j + 0.01766399954058786*k]"
43,"[-0.0960881162109366, -0.06707754840580224, 0.20663464555919286], [0.9936788370970114 + 0.028182178834204354*i + -0.10714986396077159*j + 0.018084251570801478*k]"
44,"[-0.09806128446068878, -0.06669072479065244, 0.20693562247892788], [0.9933807333756809 + 0.02883689800006228*i + -0.1096391345727742*j + 0.018504378991511403*k]"
45,"[-0.10003445271044095, -0.06630390117550264, 0.2072365993986629], [0.993075753736337 + 0.029491484316323688*i + -0.11212790008485965*j + 0.018924421163825922*k]"
46,"[-0.10200762096019311, -0.06591707756035282, 0.20753757631839795], [0.9927639299330758 + 0.030145867380665926*i + -0.11461589282434946*j + 0.01934433291120559*k]"
47,"[-0.10398078920994527, -0.06553025394520301, 0.207838553238133], [0.9924452405835027 + 0.03080009046913774*i + -0.1171032773286544*j + 0.019764142003503012*k]"
48,"[-0.10595395745969745, -0.06514343033005321, 0.208139530157868], [0.992119710415974 + 0.03145410125590937*i + -0.11958985465270452*j + 0.02018381486370222*k]"
49,"[-0.10792712570944962, -0.06475660671490341, 0.20844050707760303], [0.9917873263995539 + 0.03210792496867251*i + -0.12207572071327574*j + 0.020603367680186856*k]"
50,"[-0.10990029395920178, -0.0643697830997536, 0.20874148399733808], [0.9914481054781388 + 0.032761527344837824*i + -0.12456074524252014*j + 0.021022778466960424*k]"
51,"[-0.11187346220895394, -0.06398295948460378, 0.20904246091707313], [0.9911020437288252 + 0.0334149155829799*i + -0.12704495560972995*j + 0.021442051843283728*k]"
52,"[-0.11384663045870612, -0.06359613586945398, 0.20934343783680814], [0.9907491495537054 + 0.034068073466505124*i + -0.12952829015871425*j + 0.02186117740311399*k]"
53,"[-0.1158197987084583, -0.06320931225430418, 0.20964441475654316], [0.9903894288926395 + 0.03472099018809269*i + -0.13201070779957144*j + 0.0222801482114903*k]"
54,"[-0.11779296695821045, -0.06282248863915436, 0.2099453916762782], [0.9900228808502434 + 0.03537366755591368*i + -0.13449221540704623*j + 0.02269896542869985*k]"
55,"[-0.11976613520796262, -0.06243566502400456, 0.21024636859601326], [0.9896495219817377 + 0.03602607678394673*i + -0.13697270353543928*j + 0.023117610583010723*k]"
56,"[-0.12173930345771479, -0.06204884140885475, 0.21054734551574827], [0.9892693413405511 + 0.036678237679917826*i + -0.1394522474945822*j + 0.023536096384863155*k]"
57,"[-0.12371247170746696, -0.06166201779370494, 0.2108483224354833], [0.9888823668474382 + 0.03733010351026261*i + -0.1419306696014403*j + 0.023954392845747755*k]"
58,"[-0.12568563995721913, -0.061275194178555134, 0.21114929935521834], [0.9884885767531821 + 0.037981712053082935*i + -0.1444081134899921*j + 0.024372524207533875*k]"
59,"[-0.12765880820697129, -0.06088837056340533, 0.21145027627495339], [0.9880880110915319 + 0.038632998662379445*i + -0.14688433337334958*j + 0.024790448987463153*k]"
60,"[-0.12963197645672345, -0.06050154694825552, 0.2117512531946884], [0.9876806365617099 + 0.03928401905349295*i + -0.14935954108365046*j + 0.025208202937570416*k]"
61,"[-0.1316051447064756, -0.06011472333310571, 0.21205223011442342], [0.9872665060549184 + 0.0399346907070334*i + -0.15183342287860138*j + 0.025625733105902666*k]"
62,"[-0.13357831295622777, -0.059727899717955904, 0.21235320703415847], [0.9868455739727361 + 0.04058508723849902*i + -0.15430625864751352*j + 0.02604308673086532*k]"
63,"[-0.13555148120597993, -0.059341076102806097, 0.21265418395389352], [0.9864179068049886 + 0.041235108298073586*i + -0.15677766685604133*j + 0.026460199418880708*k]"
